SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-2-2019,Multi-Family (2-4 Unit),4920 N 91st St #4922,Milwaukee,WI,53225,80000,5,2,Milwaukee,1928,9583,1955,147,41,,Sold,,,http://www.redfin.com/WI/Milwaukee/4920-N-91st-St-53225/unit-4922/home/90349373,METROMLS,1643346,N,Y,43.1073168,-88.0256532
PAST SALE,,Multi-Family (2-4 Unit),6036 W Wells St,Wauwatosa,WI,53213,90000,3,2,,2263,5227,1940,,40,,,,,http://www.redfin.com/WI/Wauwatosa/6036-W-Wells-St-53213/home/90308675,,,N,Y,43.039916,-87.988673
PAST SALE,,Multi-Family (2-4 Unit),2414 W Galena St,Milwaukee,WI,53205,15000,2,2,,1489,3600,1889,,10,,,,,http://www.redfin.com/WI/Milwaukee/2414-W-Galena-St-53205/home/90227634,,,N,Y,43.0515834,-87.9433028
PAST SALE,,Multi-Family (2-4 Unit),334 N 70th St,Wauwatosa,WI,53213,256900,5,2,,2236,4792,1927,,115,,,,,http://www.redfin.com/WI/Wauwatosa/334-N-70th-St-53213/home/58073426,,,N,Y,43.0347144,-87.9994777
PAST SALE,,Other,820 S 58th St #5,West Allis,WI,53214,165200,,,,,4792,,,,,,,,http://www.redfin.com/WI/West-Allis/820-S-58th-St-53214/unit-5/home/58070063,,,N,Y,43.0230829,-87.9850963
PAST SALE,September-6-2019,Multi-Family (2-4 Unit),6400 N 73rd St Unit - 6410,Milwaukee,WI,53223,275510,,,Milwaukee,4849,10454,1966,112,57,,Sold,,,http://www.redfin.com/WI/Milwaukee/6400-N-73rd-St-53223/unit-6410/home/166991706,METROMLS,1640240,N,Y,43.1343668,-88.0020243
PAST SALE,September-27-2019,Multi-Family (2-4 Unit),8923 W Carmen Ave Unit 8923A,Milwaukee,WI,53225,75000,5,2,Milwaukee,1999,7405,1965,91,38,,Sold,,,http://www.redfin.com/WI/Milwaukee/8923-W-Carmen-Ave-53225/unit-8923A/home/164365290,METROMLS,1633978,N,Y,43.123228,-88.023887
PAST SALE,November-8-2019,Multi-Family (2-4 Unit),5742 N 99th St #5744,Milwaukee,WI,53225,91000,6,2,Milwaukee,2024,5662,1964,49,45,,Sold,,,http://www.redfin.com/WI/Milwaukee/5742-N-99th-St-53225/unit-5744/home/169291205,METROMLS,1662745,N,Y,43.122289,-88.035352
PAST SALE,July-15-2019,Multi-Family (2-4 Unit),1203 W Oklahoma Ave,Milwaukee,WI,53215,175000,5,3,Milwaukee,2287,3049,1920,165,77,,Sold,,,http://www.redfin.com/WI/Milwaukee/1203-W-Oklahoma-Ave-53215/home/58058328,METROMLS,1642173,N,Y,42.987982,-87.92775
PAST SALE,August-7-2019,Multi-Family (2-4 Unit),3201 N 39th St,Milwaukee,WI,53216,46000,4,2,Milwaukee,,3484,1908,142,,,Sold,,,http://www.redfin.com/WI/Milwaukee/3201-N-39th-St-53216/home/58061694,METROMLS,1647424,N,Y,43.0771445,-87.962242
